number,course,homework,howDIR,whereDIR,R,moodleProblem,RstudioLocal,RCloudorNot,pdfHtmlNotes,forum,socialCommunications,eCommunications,videocalll,social,lectureType,movies,eMeeting,you,preferredNumber,transport,sport,highschool,birthYear,shoesNumber,videotime,siblings,preferredColor,pet,hM,hP,h,soccerTeam,hairColor,eyesColor,sex,weight,hobby,birthMonth,preferredPet,preferredFood,remarks
157,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,NA,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype","Instagram
Facebook",Lezioni frontali in Aula,Amazon Prime video,"Meet
Skype",2020 MS1801 9415 A001  GR1,8,Auto personale,NA,Altro,2001,39,4,1,Azzurro,Cane,165,NA,166,Inter,Castani,Marroni,Femmina,50,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
guardare documentari, film, telefilm, serie tv, sport",5,cane,lasagne,NA
158,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Qualche volta utile,Mai,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,Altro,"You Tube
Twitter
Instagram",Lezioni frontali in Aula,Netflix,Zoom,2020 MS1801 9415 A001  GR1,5,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Classico,2001,36,3,0,Arancione,Gatto,155,160,155,Juventus,Castani,Marroni,Femmina,48,"ascoltare la musica
guardare documentari, film, telefilm, serie tv, sport",3,gatto,pizza,NA
159,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Raramente,Si,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
FaceTime",Instagram,Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Istituto tecnico settore economico,2000,38,3,0,Rosso,Cane,164,175,162,juventus,Castani,Marroni,Femmina,60,"assistere ad eventi dal vivo (attività sportive, concerti)
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
danza
palestra
sport
shopping
turismo
volontariato (croce rossa, 118)",11,cane,risotto allo zafferano,NA
160,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,No,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
FaceTime","You Tube
Twitter
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video
TimVision","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,4,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,2001,36,3,1,Viola,Gatto,165,175,160,Milan,Castani,Verdi,Femmina,50,"ascoltare la musica
cinema
guardare documentari, film, telefilm, serie tv, sport
sport",3,gatto,pizza,NA
161,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,No,Sempre,html,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Altro","You Tube
Instagram",Lezioni frontali in Aula,NA,"Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Autobus,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,2001,39,4,1,Arancione,Gatto,165,180,163,Juventus,Biondi,Marroni,Femmina,68,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria",5,gatto,pizza,"Aggiungerei la domanda sull'identità di genere (uomo, donna, non-binario), dato che c'è già la domanda sul sesso biologico"
162,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Raramente utile,Talvolta,No,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"whatsapp
Telegram","WhatsApp
Altro","You Tube
Instagram",Video registrati in differita,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,7,Auto personale,Pallacanestro,Istituto tecnico settore tecnologico,2001,41,7,1,Nero,Pesci,163,182,175,juventus,Neri,Verdi,Maschio,85,"ascoltare la musica
tecnologia, pc, scienza",8,panda,bistecca,NA
163,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime",Instagram,Lezioni frontali in Aula,Netflix,"Zoom
Meet
FaceTime",2020 MS1801 9415 A001  GR1,7,Auto personale,"Sci
Altro",Liceo Scientifico,2001,36,4,1,Azzurro,Gatto,165,175,163,inter,Castani,Marroni,Femmina,45,"ascoltare la musica
danza
sport",9,gatto,tiramisù,NA
164,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Altro","You Tube
Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),NA,"Zoom
Meet",2020 MS1801 9415 A001  GR1,4,Auto personale,Altro,Liceo Scientifico,2001,NA,4,1,Verde,Nessuno,NA,NA,171,NA,Castani,Marroni,Maschio,64,"ascoltare la musica
letture particolari: manga, news di natura finanziaria
palestra
tecnologia, pc, scienza
videogiochi",8,cane,pasta al sugo,NA
165,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Spesso utile,Talvolta,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,FaceTime,Instagram,Lezioni frontali in Aula,Netflix,Meet,2020 MS1801 9415 A001  GR1,10,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Sci",Liceo Scientifico,2001,40,1,0,Nero,Gatto,168,180,165,juventus,Neri,Marroni,Femmina,60,"ascoltare la musica
ballare
moda
palestra
shopping
studiare lingue orientali
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",5,quokka,sushi,NA
166,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Raramente utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
FaceTime",Instagram,Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,8,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Istituto tecnico settore tecnologico,2001,38,8,1,Azzurro,Gatto,163,181,165,NA,Castani,Marroni,Femmina,49,"ascoltare la musica
cinema
guardare documentari, film, telefilm, serie tv, sport
sport
shopping
tecnologia, pc, scienza",2,gatto,lasagne,NA
167,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
skype
whatsapp","WhatsApp
Skype
FaceTime","You Tube
Instagram
Facebook",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Altro",Liceo Classico,2001,38,3,2,Bianco,Nessuno,170,175,167,Juventus,Biondi,Marroni,Femmina,50,"ascoltare la musica
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cantare
cinema
cucinare
dipingere, disegnare
fotografia
giardinaggio, orto
guardare documentari, film, telefilm, serie tv, sport
moda
palestra
sport
shopping
suonare strumenti musicali
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
turismo
videogiochi",5,cane,risotto agli scampi,NA
168,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Qualche volta utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime
Altro","You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Auto personale,"Calcio e calcetto
Running",Liceo Classico,2001,43,5,2,Verde,Cane,165,185,175,Juventus,Castani,Verdi,Maschio,73,"ascoltare la musica
cucinare
palestra
sport",10,cane,lasagne,NA
169,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Spesso utile,Talvolta,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,Altro,Instagram,Video registrati in differita,"Netflix
Amazon Prime video
Infinity","Zoom
Meet",2020 MS1801 9415 A001  GR1,5,Auto personale,"Sci
Tennis/tennis tavolo",Liceo Classico,1999,38,3,2,Blu,Cane,158,172,163,Milan,Castani,Azzurri,Femmina,44,"assistere ad eventi dal vivo (attività sportive, concerti)
cinema
cucinare
fotografia
sport
shopping
tecnologia, pc, scienza",9,cane,pizza,NA
170,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Difficile,Spesso,Si,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
skype
whatsapp
messaggi","WhatsApp
Skype","You Tube
Instagram",Video registrati in differita,Amazon Prime video,"Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,3,Treno,"Ginnastica, aerobica, fitness e cultura fisica
Sci
Atletica leggera",Altro,2001,40,6,1,Blu,Nessuno,160,185,165,NA,Castani,Marroni,Femmina,51,sport,3,koala,gelato,NA
171,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Talvolta,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime","You Tube
Instagram
Facebook",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,2,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Running",Istituto tecnico settore economico,2000,38,4,1,Viola,Gatto,160,165,163,nessuna,Castani,Marroni,Maschio,60,"ascoltare la musica
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
palestra",6,gatto,pizza,NA
172,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Spesso,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,FaceTime,"You Tube
Instagram",Video registrati in differita,NA,Meet,2020 MS1801 9415 A001  GR1,9,Treno,Calcio e calcetto,Istituto tecnico settore tecnologico,1996,39,2,1,Rosso,Cane,160,172,164,inter,Rossi,Marroni,Femmina,59,"ascoltare la musica
cucinare
dipingere, disegnare
fotografia
sport
turismo",11,scimmia,cheesecake,NA
173,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Spesso utile,Talvolta,Si,Raramente,pdf,"Sicuramente migliorare l'interazione Studente insegnante è ottimo in quanto, per motivi vari chi è obbligato alla didattica a distanza ha difficoltà a parlare con l'insegnate... Dedicare degli spazi in più per parlare è sicuramente un ottima cosa. Il formu sicuramente è un ottima cosa, bisogna valutarne l'uso di tutti in quanto ad oggi è poco usato. Per le interazioni studenti-studenti ci si organizza velocemente, quindi si possono valutare incontri ma pare superflua come cosa.",2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",Altro,"Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Amazon Prime video,Zoom,2020 MS1801 9415 A001  GR1,7,Piedi,Altro,Istituto Professionale,1990,42,3,3,Verde,"Cane
Pesci
Altro",170,170,171,nessuna,Neri,Marroni,Maschio,85,"camminare, escursionismo montano, passeggiare, andare a cavallo
videogiochi",10,leone,verze e costine della nonna,"Si, la frequentazione a funzioni religiose o comunque legate al ramo spirituale"
174,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,NA,Si,Spesso,pdf,"Sinceramente trovo che il Forum sia molto utile e forse lo rimpiazzerei con una specie di Chat un po' più dinamica, quasi come quelle che compaiono quando ci sono le video lezioni, proprio per facilitare la comprensione e per ridurre gli spazi. 
Le interazioni didattiche studenti - studenti, sinceramente trovo che si possano aumentare attraverso i vari social media che ce ne danno grande disponibilità, ma anche attraverso applicazioni di messaggistica come Whatsapp o Telegram (che permette di essere connessi anche senza un numero di cellulare ""visibile""). Anche per quanto riguarda le interazioni studenti - docente mi sento di suggerire delle applicazioni di messaggistica o, comunque, le mail, ma se un docente dovesse scambiare anche solo una mail al giorno con tutti gli studenti e gestire anche la propria casella privata, non gli basterebbe una vita !",2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi
Telegram
weChat","WhatsApp
Skype
FaceTime","You Tube
Instagram
Facebook",Lezioni frontali in Aula,Amazon Prime video,"Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,7,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Ciclismo",Istituto tecnico settore economico,1999,39,4,0,Giallo,Nessuno,165,167,169,Roma,Biondi,Azzurri,Femmina,70,"arti orientali: yoga, wing chun
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cantare
cucinare
moda
tecnologia, pc, scienza
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",5,gatto,cheesecake,NA
175,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Talvolta,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Telegram",FaceTime,Instagram,Lezioni frontali in Aula,"Netflix
Amazon Prime video
Infinity
AppleTV+","Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Piedi,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,2001,37,1,2,Arancione,Gatto,162,183,156,juventus,Castani,Marroni,Femmina,NA,"ascoltare la musica
ballare
cantare
shopping
suonare strumenti musicali",8,leone,avocado,NA
176,2020 MS1801 9415 A001  GR1,Si vedrà...,Tablet,Casa,Difficile,Raramente,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"whatsapp
messaggi
snapchat
Altro",WhatsApp,Instagram,Video delle lezioni in Aula in diretta streaming,NA,Meet,2020 MS1801 9415 A001  GR1,4,Piedi,NA,Liceo Classico,2001,39,1,3,Blu,Nessuno,165,194,175,Avellino,Castani,Marroni,Femmina,57,"ascoltare la musica
ballare
cantare
cucinare
dipingere, disegnare
fotografia
scrittura",6,gatto,pizza,NA
177,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Raramente utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"whatsapp
Altro","WhatsApp
FaceTime","Instagram
Altro",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Piedi,Altro,Liceo Scientifico,2001,39,4,0,Rosa,Gatto,165,172,158,NA,Castani,Marroni,Femmina,60,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport
moda
palestra
sport
shopping
storia dell’arte
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",10,gatto,pizza,NA
178,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Telegram","WhatsApp
Altro","You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Piedi,"Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici",Altro,1998,37,4,1,Blu,"Cane
Uccelli",163,172,165,NA,Castani,Marroni,Femmina,50,"arti orientali: yoga, wing chun
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
giardinaggio, orto
turismo",9,cane,lasagne,NA
179,2020 MS1801 9415 A001  GR1,Poco,Computer,Casa,Difficile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,"WhatsApp
FaceTime","You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Piedi,NA,Liceo Scientifico,2001,38,10,1,Bianco,Nessuno,165,180,163,Juventus,Biondi,Azzurri,Femmina,50,"ascoltare la musica
ballare
cantare
dipingere, disegnare
fotografia
moda
shopping
storia dell’arte
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
turismo
volontariato (croce rossa, 118)",4,quokka,risotto con i funghi,risotto con i funghi della nonna per essere precisi
180,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Raramente utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"whatsapp
Telegram",Skype,"You Tube
Instagram",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video",Skype,2020 MS1801 9415 A001  GR1,8,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Artistico,1998,42,4,2,Nero,Cane,160,160,170,Nessuna,Neri,Marroni,Maschio,80,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
dipingere, disegnare
fotografia
letture particolari: manga, news di natura finanziaria
palestra
tecnologia, pc, scienza
videogiochi",10,tigre,cioccolato,NA
181,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Qualche volta utile,Mai,No,Spesso,html,NA,2020 MS1801 9415 A001  GR1,e-mail,Skype,"You Tube
Twitter",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),NA,Skype,2020 MS1801 9415 A001  GR1,6,Piedi,Altro,Istituto tecnico settore tecnologico,2001,38,3,2,Azzurro,"Gatto
Cane
Uccelli",167,185,164,NA,Castani,Marroni,Femmina,50,"arti orientali: yoga, wing chun
ascoltare la musica
giardinaggio, orto
letture particolari: manga, news di natura finanziaria
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",8,quokka,tiramisù,NA
182,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime","You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video
TimVision","Meet
Skype",2020 MS1801 9415 A001  GR1,5,Auto personale,"Sport acquatici
Sci
Tennis/tennis tavolo
Equitazione",Altro,2000,38,4,1,Verde,"Cane
Altro",170,170,168,milan,Neri,Verdi,Femmina,60,"ballare
cantare
dipingere, disegnare
letture particolari: manga, news di natura finanziaria
scrittura
shopping",2,cavallo,McDonald,NA
183,2020 MS1801 9415 A001  GR1,Si vedrà...,Tablet,Casa,Qualche volta utile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
Google Duo","You Tube
Instagram
Facebook
Altro",Lezioni frontali in Aula,NA,"Zoom
Meet
Skype
Duo",2020 MS1801 9415 A001  GR1,8,Autobus,NA,Istituto tecnico settore tecnologico,2001,40,5,1,Viola,Gatto,155,180,165,/,Neri,Marroni,Femmina,70,"ascoltare la musica
cucinare",3,elefante,NA,NA
184,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime",Instagram,Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,Meet,2020 MS1801 9415 A001  GR1,2,Auto personale,Altro,Liceo Scientifico,2001,39,5,3,NA,Nessuno,169,180,167,Juventus,Castani,Marroni,Femmina,54,"ascoltare la musica
guardare documentari, film, telefilm, serie tv, sport
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",12,cane,gelato,No
185,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Mai,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
Skype
FaceTime
Altro","Instagram
Facebook
Linkedin",Video delle lezioni in Aula in diretta streaming,"Netflix
Amazon Prime video
Infinity
AppleTV+","Zoom
Meet
Skype
FaceTime",2020 MS1801 9415 A001  GR1,7,Auto personale,Pallavolo/beach volley,Altro,1994,39,5,1,Blu,Roditori,165,168,170,Juventus,Castani,Marroni,Femmina,66,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
guardare documentari, film, telefilm, serie tv, sport
sport
shopping
storia dell’arte",4,pantera,pasta col pesce,NA
186,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Spesso utile,Mai,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",WhatsApp,"You Tube
Instagram
Altro",Lezioni frontali in Aula,Netflix,Meet,2020 MS1801 9415 A001  GR1,9,Treno,Calcio e calcetto,Liceo Scientifico,2001,42,2,1,Blu,Nessuno,165,170,170,torino,Castani,Marroni,Maschio,70,"ascoltare la musica
ballare
guardare documentari, film, telefilm, serie tv, sport
motori
sport
tecnologia, pc, scienza
videogiochi",3,cane,spaghetti alla carbonara,NA
187,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
FaceTime","Instagram
Altro",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Car sharing,"Ginnastica, aerobica, fitness e cultura fisica
Sci
Pattinaggio",Liceo Scientifico,2002,39,5,2,Rosso,"Gatto
Cane",170,184,176,NA,Castani,Azzurri,Femmina,NA,"camminare, escursionismo montano, passeggiare, andare a cavallo
fotografia
guardare documentari, film, telefilm, serie tv, sport
moda
scrittura
shopping
turismo",6,delfino,frutta,NA
188,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Difficile,Spesso,Si,Mai,pdf,"a mia idea farei lezioni interamente dedicate a delucidazioni a determinati argomenti non compresi dagli studenti, in poche parole lezioni interamente composte da domande poste dagli studenti su argomenti non compresi che successivamente verranno chiariti nella lezione",2020 MS1801 9415 A001  GR1,e-mail,WhatsApp,"You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,9,Bicicletta,"Arti marziali
Running",Istituto Professionale,2001,39,10,1,Altro,Nessuno,170,171,168,milan,Biondi,Verdi,Femmina,64,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
cucinare
dipingere, disegnare
fotografia
palestra
sport
suonare strumenti musicali",10,cane,lasagne,NA
189,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,Mai,pdf,"Il forum è utile per quanto riguarda le interazioni studenti-docente, non cambierei la gestione di esso. Secondo me viene poco utilizzato perché noi studenti abbiamo gruppi what's app dove è più comodo e veloce interagire, chiedere informazioni ed aiutarci.",2020 MS1801 9415 A001  GR1,whatsapp,"WhatsApp
Altro",Instagram,Video registrati in differita,Netflix,Meet,2020 MS1801 9415 A001  GR1,3,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Equitazione",Liceo Classico,2001,39,2,1,Verde,Gatto,158,179,170,Inter,Biondi,Verdi,Femmina,50,"ascoltare la musica
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
guardare documentari, film, telefilm, serie tv, sport
palestra
sport
storia dell’arte
tecnologia, pc, scienza
turismo",6,cavallo,pizza,NA
190,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
hangouts
Altro","WhatsApp
FaceTime","You Tube
Instagram",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video
AppleTV+","Meet
FaceTime",2020 MS1801 9415 A001  GR1,5,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Altro",Altro,2000,43,2,1,Nero,Cane,160,180,175,Juventus,Castani,Marroni,Maschio,65,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
comporre musica e coreografie
palestra
shopping
suonare strumenti musicali
tecnologia, pc, scienza
videogiochi",5,cane,McDonald,NA
